Answer.7,Input.var_arrays
5,"[{""wl"": [""префектуре"", ""сергей"", ""мать"", ""сп"", ""ним"", ""японии""], ""id"": 7, ""wl_id"": ""189""}]"
0,"[{""wl"": [""земля"", ""код"", ""единственный"", ""департамент"", ""официальный"", ""коммуна""], ""id"": 7, ""wl_id"": ""190""}]"
5,"[{""wl"": [""конца"", ""советский"", ""назад"", ""существования"", ""период"", ""появились""], ""id"": 7, ""wl_id"": ""191""}]"
0,"[{""wl"": [""индии"", ""главных"", ""частности"", ""архитектуры"", ""одноимённого"", ""основе""], ""id"": 7, ""wl_id"": ""192""}]"
3,"[{""wl"": [""юго-востоке"", ""качестве"", ""берег"", ""упоминается"", ""острова"", ""впервые""], ""id"": 7, ""wl_id"": ""193""}]"
5,"[{""wl"": [""улицы"", ""фамилия"", ""носители"", ""улица"", ""длина"", ""москвы""], ""id"": 7, ""wl_id"": ""194""}]"
0,"[{""wl"": [""приблизительно"", ""небольшой"", ""острова"", ""острове"", ""островов"", ""остров""], ""id"": 7, ""wl_id"": ""195""}]"
2,"[{""wl"": [""кристалл"", ""женский"", ""соединение"", ""образовать"", ""фамилия"", ""носитель""], ""id"": 7, ""wl_id"": ""196""}]"
3,"[{""wl"": [""членов"", ""мышца"", ""орден"", ""футболист"", ""мышцы"", ""вне""], ""id"": 7, ""wl_id"": ""197""}]"
1,"[{""wl"": [""школа"", ""затем"", ""немецкий"", ""учиться"", ""высота"", ""семья""], ""id"": 7, ""wl_id"": ""198""}]"
4,"[{""wl"": [""книга"", ""мозга"", ""означать"", ""быстро"", ""блюдо"", ""объектов""], ""id"": 7, ""wl_id"": ""199""}]"
